estimated_pickup_latitude,estimated_pickup_longitude,pickup_hex,estimated_dropoff_latitude,estimated_dropoff_longitude,dropoff_hex
27.73836794,85.33947274,893c029822bffff,27.73757206,85.34010742,893c029822bffff
27.73477279,85.35531186,893c0299ca7ffff,27.73534,85.35514,893c0299ca7ffff
27.67852735,85.47138881,893c028857bffff,27.67852735,85.47138881,893c028857bffff
27.72179159,85.3117967,893c02991d3ffff,27.7214,85.3124,893c02991d3ffff
27.67425176,85.4797278,893c02881d7ffff,27.67425176,85.4797278,893c02881d7ffff
27.74681867,85.31715609,893c0298663ffff,27.7476023,85.3176268,893c0298663ffff
27.64827578,85.32177251,893c02d6a83ffff,27.6500667,85.3209286,893c02d6a83ffff
27.696789,85.221112,893c066ca9bffff,27.69556627,85.22208777,893c066ca9bffff
27.7363,85.35064844,893c0299cb3ffff,27.7363,85.35064844,893c0299cb3ffff
27.66663725,85.41751094,893c028b157ffff,27.66702179,85.41631971,893c028b157ffff
27.71297283,85.34689197,893c0299ea3ffff,27.71288885,85.34671803,893c0299ea3ffff
27.70624035,85.30915171,893c0299067ffff,27.7061272,85.309495,893c0299067ffff
27.67888987,85.47719277,893c0288567ffff,27.6811137,85.4783136,893c0288567ffff
27.69114202,85.31090923,893c029935bffff,27.69114202,85.31090923,893c029935bffff
27.66660458,85.41763701,893c028b157ffff,27.66773622,85.41534506,893c028b157ffff
27.71226919,85.32245647,893c0299147ffff,27.71226919,85.32245647,893c0299147ffff
27.75150859,85.32604057,893c0298297ffff,27.75150859,85.32604057,893c0298297ffff
27.69795599,85.34469634,893c0299e7bffff,27.69802219,85.34417801,893c0299e7bffff
27.70004672,85.35449582,893c0299a93ffff,27.70033045,85.3533274,893c0299a93ffff
23.78932454,90.40518053,893cf13b243ffff,23.78916886,90.40522624,893cf13b243ffff
27.6679034,85.48031386,893c0288153ffff,27.66740929,85.47858585,893c0288153ffff
27.6707801,84.43883792,893c0659a73ffff,27.6708234,84.4389448,893c0659a73ffff
27.68421599,85.34127485,893c02d6d07ffff,27.68448198,85.34156899,893c02d6d07ffff
27.68421599,85.34127485,893c02d6d07ffff,27.68448198,85.34156899,893c02d6d07ffff
27.71586538,85.33422634,893c029912bffff,27.7168843,85.3330423,893c029912bffff
23.75770851,90.37431769,893cf10c84bffff,23.75763087,90.37432507,893cf10c84bffff
23.769043,90.423917,893cf1396b3ffff,23.76917735,90.42388458,893cf1396b3ffff
23.70425842,90.44630181,893cf176ecfffff,23.7044882,90.447184,893cf176ecfffff
23.752993,90.363342,893cf10ce6fffff,23.75296838,90.36329616,893cf10ce6fffff
22.32939656,91.78938501,893cc2185c3ffff,22.32942376,91.78954116,893cc2185c3ffff
23.89479388,90.42511705,893cf104a67ffff,23.89518191,90.42437927,893cf104a67ffff
27.74241282,85.3488645,893c0298343ffff,27.73987748,85.34827575,893c0298343ffff
27.74248107,85.34472048,893c0298227ffff,27.74227425,85.34421857,893c0298227ffff
27.71401476,85.34524418,893c0299eb3ffff,27.71401476,85.34524418,893c0299eb3ffff
27.72723076,85.40579136,893c028a4c3ffff,27.7278029,85.4045606,893c028a4c3ffff
27.70805133,85.31681947,893c0299397ffff,27.70707238,85.31416576,893c0299397ffff
27.66167949,85.44700878,893c02886afffff,27.66279675,85.44734135,893c02886afffff
27.75646444,85.31717889,893c0298633ffff,27.75646444,85.31717889,893c0298633ffff
